Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9UKK9;A6NFX8;A6NJU6;A6NHE8;A6NCQ0;C9JYY9;H0YEY4	Q9UKK9;A6NFX8;A6NJU6;A6NHE8	5;5;3;3;2;1;1	5;5;3;3;2;1;1	5;5;3;3;2;1;1	ADP-sugar pyrophosphatase	NUDT5	>sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1;>tr|A6NFX8|A6NFX8_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=2 SV=1;>tr|A6NJU6|A6NJU6_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=2 SV=2;>t	7	5	5	5	29.2	29.2	29.2	24.327	219	219;232;186;189;180;98;137	3.4935E-18	1.0494	0.88812	9.6033	3	74591000	45146000	29445000				27	2789;4516;8599;9067;11928	True;True;True;True;True	2796;4525;8613;9081;11947	3309;5398;10304;10847;14282	5940;5941;5942;9839;18619;19601;26048	5942;9839;18619;19601;26048		
K7EIJ0;K7ENL2;A6NG10;K7EMC9;Q969T9;K7EIN1;K7ESN4;K7EIK1;B4DFG2	K7EIJ0;K7ENL2;A6NG10;K7EMC9;Q969T9;K7EIN1;K7ESN4;K7EIK1;B4DFG2	2;2;2;2;2;1;1;1;1	2;2;2;2;2;1;1;1;1	2;2;2;2;2;1;1;1;1	WW domain-binding protein 2	WBP2	>tr|K7EIJ0|K7EIJ0_HUMAN WW domain-binding protein 2 (Fragment) OS=Homo sapiens GN=WBP2 PE=4 SV=1;>tr|K7ENL2|K7ENL2_HUMAN WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=4 SV=1;>tr|A6NG10|A6NG10_HUMAN WW domain-binding protein 2 OS=Homo sapiens GN=WB	9	2	2	2	14.4	14.4	14.4	18.224	167	167;231;239;257;261;114;152;205;216	1.729E-17	NaN	NaN	NaN	1	7639700	5285900	2353800				28	1302;7765	True;True	1307;7778	1529;9327	2755;2756;2757;16819	2756;16819		
H3BMM8;B4E1P3;H3BMT0;H3BTV5;H3BU16;Q9H910-2;A6NGP5;Q9H910;H3BMV3;B4DLH4	H3BMM8;B4E1P3;H3BMT0;H3BTV5;H3BU16;Q9H910-2;A6NGP5;Q9H910;H3BMV3;B4DLH4	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	Hematological and neurological expressed 1-like protein	HN1L	>tr|H3BMM8|H3BMM8_HUMAN Hematological and neurological-expressed 1-like protein OS=Homo sapiens GN=HN1L PE=2 SV=1;>tr|B4E1P3|B4E1P3_HUMAN Hematological and neurological-expressed 1-like protein OS=Homo sapiens GN=HN1L PE=2 SV=1;>tr|H3BMT0|H3BMT0_HUMAN Hema	10	1	1	1	24.3	24.3	24.3	7.4362	70	70;98;115;116;167;174;178;190;190;218	0.00030921	NaN	NaN	NaN	0	5873700	5873700	0				29	7516	True	7528	9046	16290;16291	16291		
H0Y4J2;A6NHR2;Q9BZE1	H0Y4J2;A6NHR2;Q9BZE1	2;2;2	2;2;2	2;2;2	39S ribosomal protein L37, mitochondrial	MRPL37	>tr|H0Y4J2|H0Y4J2_HUMAN 39S ribosomal protein L37, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL37 PE=4 SV=1;>tr|A6NHR2|A6NHR2_HUMAN 39S ribosomal protein L37, mitochondrial OS=Homo sapiens GN=MRPL37 PE=2 SV=2;>sp|Q9BZE1|RM37_HUMAN 39S ribosomal protein	3	2	2	2	14.4	14.4	14.4	29.485	264	264;292;423	1.6731E-07	1.2257	1.0934	7.2657	2	17161000	9058000	8102500				30	8042;11363	True;True	8055;11383	9663;13621	17428;24831;24832	17428;24831		
A6NHR9-2;A6NHR9;J3KTL8;A6NHR9-3;J3KRK8	A6NHR9-2;A6NHR9;J3KTL8;A6NHR9-3	7;7;6;5;1	7;7;6;5;1	7;7;6;5;1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	>sp|A6NHR9-2|SMHD1_HUMAN Isoform 2 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1;>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo	5	7	7	7	4.6	4.6	4.6	215.74	1917	1917;2005;1388;762;49	8.8896E-31	0.76914	0.71428	16.622	6	40307000	26482000	13825000				31	3471;4298;6709;7253;7446;9648;10458	True;True;True;True;True;True;True	3478;4307;6719;7265;7458;9665;10477	4103;5136;5137;8104;8736;8958;11513;12510	7383;7384;7385;9330;9331;9332;14704;15767;16133;20787;20788;20789;20790;22656	7385;9331;14704;15767;16133;20790;22656		
P63092-3;P63092-2;P63092;A6NI00;Q5JWF2-2;Q5JWF2;P38405;P38405-2;A2A2R6;Q5JWD1;H0Y7E8;K7EQ80;K7EPE2;Q5JWE9;H0Y7F4;P11488;P19087;A8MTJ3	P63092-3;P63092-2;P63092;A6NI00;Q5JWF2-2;Q5JWF2;P38405;P38405-2	4;4;4;4;4;4;2;2;1;1;1;1;1;1;1;1;1;1	3;3;3;3;3;3;1;1;0;0;0;1;1;0;0;0;0;0	3;3;3;3;3;3;1;1;0;0;0;1;1;0;0;0;0;0	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas;Guanine nucleotide-binding protein G(olf) subunit alpha	GNAS;GNAL	>sp|P63092-3|GNAS2_HUMAN Isoform 3 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short OS=Homo sapiens GN=GNAS;>sp|P63092-2|GNAS2_HUMAN Isoform Gnas-2 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short OS=Homo sapie	18	4	3	3	12.7	9.8	9.8	44.179	379	379;380;394;395;1023;1037;381;458;61;87;93;145;179;193;199;350;354;354	2.9445E-17	2.2457	1.8863	7.7561	3	31462000	9482400	21980000				32	6712;7029;11523;12489	False;True;True;True	6722;7040;11543;12509	8108;8484;13801;14980	14710;14711;15343;15344;25162;27343;27344;27345	14711;15343;25162;27345		
A8MVU1;P14598;A6NI72;P14598-2;H7C1S1;C9J155	A8MVU1;P14598;A6NI72	5;5;5;2;1;1	5;5;5;2;1;1	5;5;5;2;1;1	Putative neutrophil cytosol factor 1C;Neutrophil cytosol factor 1;Putative neutrophil cytosol factor 1B	NCF1C;NCF1;NCF1B	>sp|A8MVU1|NCF1C_HUMAN Putative neutrophil cytosol factor 1C OS=Homo sapiens GN=NCF1C PE=5 SV=1;>sp|P14598|NCF1_HUMAN Neutrophil cytosol factor 1 OS=Homo sapiens GN=NCF1 PE=1 SV=3;>sp|A6NI72|NCF1B_HUMAN Putative neutrophil cytosol factor 1B OS=Homo sapiens	6	5	5	5	19.1	19.1	19.1	41.85	366	366;390;391;278;146;187	2.285E-14	0.38329	0.33324	31.33	5	53565000	38743000	14822000				33	1242;2670;5859;6617;8606	True;True;True;True;True	1247;2677;5869;6627;8620	1462;3172;7072;7992;10312	2631;5682;5683;12869;12870;14516;14517;18636;18637	2631;5682;12870;14517;18637		
Q5JSL3;A6NIW2	Q5JSL3;A6NIW2	2;2	2;2	2;2	Dedicator of cytokinesis protein 11	DOCK11	>sp|Q5JSL3|DOC11_HUMAN Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=1 SV=2;>tr|A6NIW2|A6NIW2_HUMAN Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=2 SV=2	2	2	2	2	1.3	1.3	1.3	237.67	2073	2073;2077	3.1028E-09	NaN	NaN	NaN	1	4476500	316430	4160100				34	2902;7256	True;True	2909;7268	3453;8739	6184;6185;6186;15771	6184;15771		
A6NKE1;O43617;A6NDN0	A6NKE1;O43617;A6NDN0	2;2;1	2;2;1	2;2;1	Trafficking protein particle complex subunit 3	TRAPPC3	>tr|A6NKE1|A6NKE1_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens GN=TRAPPC3 PE=2 SV=1;>sp|O43617|TPPC3_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens GN=TRAPPC3 PE=1 SV=1;>tr|A6NDN0|A6NDN0_HUMAN Trafficking prote	3	2	2	2	15.3	15.3	15.3	13.343	118	118;180;134	1.17E-10	NaN	NaN	NaN	1	10376000	6153900	4222000				35	2054;6518	True;True	2060;6528	2479;7833	4439;14227	4439;14227		
A6NKT7;J3KNE0;Q7Z3J3;J3KNY6	A6NKT7;J3KNE0;Q7Z3J3;J3KNY6	4;4;3;3	1;1;1;1	1;1;1;1	RanBP2-like and GRIP domain-containing protein 3;RanBP2-like and GRIP domain-containing protein 4	RGPD3;RGPD4	>sp|A6NKT7|RGPD3_HUMAN RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens GN=RGPD3 PE=2 SV=2;>tr|J3KNE0|J3KNE0_HUMAN RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens GN=RGPD3 PE=4 SV=1;>sp|Q7Z3J3|RGPD4_HUMAN RanBP2-like and GR	4	4	1	1	3	0.7	0.7	197.48	1758	1758;1766;1758;1766	1.3189E-14	NaN	NaN	NaN	1	10326000	4267100	6058500				36	4832;5161;6702;9487	False;True;False;False	4841;5170;6712;9504	5795;6204;8097;11326	10560;11302;11303;14694;20468	10560;11302;14694;20468		
Q8IY57-3;Q8IY57-2;J3KNM5;A6NL56;Q8IY57	Q8IY57-3;Q8IY57-2;J3KNM5;A6NL56;Q8IY57	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	YY1-associated factor 2	YAF2	>sp|Q8IY57-3|YAF2_HUMAN Isoform 3 of YY1-associated factor 2 OS=Homo sapiens GN=YAF2;>sp|Q8IY57-2|YAF2_HUMAN Isoform 1 of YY1-associated factor 2 OS=Homo sapiens GN=YAF2;>tr|J3KNM5|J3KNM5_HUMAN YY1-associated factor 2 OS=Homo sapiens GN=YAF2 PE=4 SV=1;>tr|	5	1	1	1	18.1	18.1	18.1	15.115	138	138;156;156;171;180	1.4852E-05	NaN	NaN	NaN	1	478350	191140	287210				37	9811	True	9828	11697	21125;21126;21127;21128;21129	21125		
A6NLH6;Q9P003	A6NLH6;Q9P003	1;1	1;1	1;1	Protein cornichon homolog 4	CNIH4	>tr|A6NLH6|A6NLH6_HUMAN Protein cornichon homolog 4 OS=Homo sapiens GN=CNIH4 PE=2 SV=1;>sp|Q9P003|CNIH4_HUMAN Protein cornichon homolog 4 OS=Homo sapiens GN=CNIH4 PE=1 SV=1	2	1	1	1	14.6	14.6	14.6	15.771	137	137;139	0.0042504	NaN	NaN	NaN	1	22833000	11938000	10895000				38	12272	True	12292	14716	26859;26860;26861	26860		
E1B6W5;P22307-2;P22307-4;A6NM69;C9JC79;P22307;H0YF61	E1B6W5;P22307-2;P22307-4;A6NM69;C9JC79;P22307;H0YF61	5;5;5;5;5;5;4	5;5;5;5;5;5;4	5;5;5;5;5;5;4	Non-specific lipid-transfer protein	SCP2	>tr|E1B6W5|E1B6W5_HUMAN Non-specific lipid-transfer protein OS=Homo sapiens GN=SCP2 PE=2 SV=1;>sp|P22307-2|NLTP_HUMAN Isoform SCP2 of Non-specific lipid-transfer protein OS=Homo sapiens GN=SCP2;>sp|P22307-4|NLTP_HUMAN Isoform 4 of Non-specific lipid-transf	7	5	5	5	29.3	29.3	29.3	15.079	140	140;143;466;503;523;547;140	5.4985E-26	1.2619	1.0614	7.7064	5	83006000	40585000	42422000				39	2182;5019;5802;5803;7074	True;True;True;True;True	2188;5028;5812;5813;7086	2622;6027;7004;7005;8536	4695;10980;10981;12754;12755;12756;15426;15427	4695;10981;12754;12756;15427		
O43768-2;O43768;D6RE62;O43768-9;O43768-3;O43768-4;A6NMQ3;C9JUF4;Q5T5H1;O43768-8;H3BQ52;H3BTD3;P56211-2;P56211;O43768-6;O43768-5;H3BMD8;O43768-7	O43768-2;O43768;D6RE62;O43768-9;O43768-3;O43768-4;A6NMQ3;C9JUF4;Q5T5H1;O43768-8	4;4;4;4;4;4;4;4;4;3;1;1;1;1;1;1;1;1	4;4;4;4;4;4;4;4;4;3;1;1;1;1;1;1;1;1	4;4;4;4;4;4;4;4;4;3;1;1;1;1;1;1;1;1	Alpha-endosulfine	ENSA	>sp|O43768-2|ENSA_HUMAN Isoform 2 of Alpha-endosulfine OS=Homo sapiens GN=ENSA;>sp|O43768|ENSA_HUMAN Alpha-endosulfine OS=Homo sapiens GN=ENSA PE=1 SV=1;>tr|D6RE62|D6RE62_HUMAN Alpha-endosulfine OS=Homo sapiens GN=ENSA PE=2 SV=1;>sp|O43768-9|ENSA_HUMAN Iso	18	4	4	4	29.1	29.1	29.1	12.975	117	117;121;121;133;137;140;140;144;187;105;71;72;96;112;113;117;131;133	4.876E-41	1.46	1.2274	41.817	2	29466000	13152000	16314000				40	8735;8736;9853;12189	True;True;True;True	8749;8750;9870;12209	10458;10459;11752;14619	18905;18906;18907;18908;18909;21229;26670;26671	18906;18909;21229;26671		
A6NN80;E5RK69;E5RK63;E5RFF0;E5RI05;E5RJF5;E5RIU8;E5RJR0;H0YC77	A6NN80;E5RK69	33;21;7;7;6;6;4;4;3	2;2;0;0;0;0;0;0;0	2;2;0;0;0;0;0;0;0	Annexin	ANXA6	>tr|A6NN80|A6NN80_HUMAN Annexin OS=Homo sapiens GN=ANXA6 PE=2 SV=3;>tr|E5RK69|E5RK69_HUMAN Annexin OS=Homo sapiens GN=ANXA6 PE=2 SV=1	9	33	2	2	50.2	3	3	75.276	667	667;460;150;156;129;130;94;110;91	5.2413E-256	6.4677	4.8182	27.559	2	37016000	6016100	31000000				41	626;1280;1293;1606;1680;2131;2207;2208;2260;2456;3763;3829;4051;4283;4366;5210;5211;7331;7776;7923;7924;8576;9363;9364;9367;9368;9369;9629;9661;9993;10557;11980;12437	False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	627;1285;1298;1611;1685;2137;2213;2214;2266;2463;3770;3837;4059;4292;4375;5219;5220;7343;7790;7936;7937;8590;9378;9379;9382;9383;9384;9646;9678;10010;10576;11999;12457	729;1503;1518;1909;1910;1993;1994;1995;2567;2649;2650;2707;2938;4438;4522;4523;4853;4854;5119;5211;5212;6261;6262;8824;9339;9510;9511;9512;10278;11188;11189;11192;11193;11194;11493;11494;11527;11528;11910;12634;14375;14376;14913	1315;2700;2734;2735;3443;3444;3445;3583;3584;3585;3586;3587;4608;4609;4737;4738;4739;4740;4834;4835;4836;4837;5269;8002;8169;8170;8171;8822;8823;9289;9290;9291;9487;9488;9489;9490;9491;11418;11419;11420;11421;15911;16838;17149;17150;17151;17152;17153;17154;18567;18568;18569;20222;20223;20228;20229;20230;20231;20232;20754;20755;20756;20757;20758;20812;20813;20814;20815;20816;21516;22883;22884;22885;26236;26237;26238;27225;27226	1315;2700;2734;3443;3585;4609;4737;4740;4834;5269;8002;8171;8823;9290;9491;11418;11420;15911;16838;17153;17154;18568;20222;20223;20229;20231;20232;20754;20813;21516;22884;26236;27226		
H0YEL5;A6NNE7;C9JQD4;O43447	H0YEL5;A6NNE7;C9JQD4;O43447	1;1;1;1	1;1;1;1	1;1;1;1	Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase H	PPIH	>tr|H0YEL5|H0YEL5_HUMAN Peptidyl-prolyl cis-trans isomerase H (Fragment) OS=Homo sapiens GN=PPIH PE=2 SV=1;>tr|A6NNE7|A6NNE7_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens GN=PPIH PE=2 SV=1;>tr|C9JQD4|C9JQD4_HUMAN Peptidyl-prolyl cis-trans isome	4	1	1	1	9.4	9.4	9.4	10.281	96	96;134;144;177	0.0020583	NaN	NaN	NaN	1	15802000	7799600	8002300				42	5074	True	5083	6098	11118	11118		
A6NNN6;H0YBA1;E7EV56;Q15154-2;E7ETA6;Q15154	A6NNN6;H0YBA1;E7EV56;Q15154-2;E7ETA6;Q15154	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Pericentriolar material 1 protein	PCM1	>tr|A6NNN6|A6NNN6_HUMAN Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1 PE=2 SV=4;>tr|H0YBA1|H0YBA1_HUMAN Pericentriolar material 1 protein (Fragment) OS=Homo sapiens GN=PCM1 PE=4 SV=1;>tr|E7EV56|E7EV56_HUMAN Pericentriolar material 1 protein OS=	6	1	1	1	1.8	1.8	1.8	81.324	723	723;764;1860;1969;2016;2024	0.00076612	NaN	NaN	NaN	1	5171600	2041900	3129800				43	6845	True	6855	8272	14985	14985		
A6NP24;Q08257;C9JH92;Q08257-3;Q08257-2	A6NP24;Q08257;C9JH92;Q08257-3;Q08257-2	5;5;4;4;3	5;5;4;4;3	5;5;4;4;3	Quinone oxidoreductase	CRYZ	>tr|A6NP24|A6NP24_HUMAN Quinone oxidoreductase (Fragment) OS=Homo sapiens GN=CRYZ PE=2 SV=1;>sp|Q08257|QOR_HUMAN Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1;>tr|C9JH92|C9JH92_HUMAN Quinone oxidoreductase (Fragment) OS=Homo sapiens GN=CRYZ PE=2	5	5	5	5	29.6	29.6	29.6	25.982	243	243;329;206;295;192	2.4431E-12	1.803	1.4912	38.534	3	62880000	22160000	40720000				44	1704;5205;5591;5866;9297	True;True;True;True;True	1709;5214;5601;5876;9311	2024;6255;6733;7079;11115	3632;11408;12279;12879;20087	3632;11408;12279;12879;20087		
A6PVN7;A6PVN8;C9IZ76;A6PVN6;Q5T949;Q5T948;A6PVN9;Q15257-3;Q15257-2;A6PVN5;Q15257;B4DZF8	A6PVN7;A6PVN8;C9IZ76;A6PVN6;Q5T949;Q5T948;A6PVN9;Q15257-3;Q15257-2;A6PVN5;Q15257;B4DZF8	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	Serine/threonine-protein phosphatase 2A activator	PPP2R4	>tr|A6PVN7|A6PVN7_HUMAN Serine/threonine-protein phosphatase 2A activator (Fragment) OS=Homo sapiens GN=PPP2R4 PE=2 SV=1;>tr|A6PVN8|A6PVN8_HUMAN Serine/threonine-protein phosphatase 2A activator (Fragment) OS=Homo sapiens GN=PPP2R4 PE=2 SV=1;>tr|C9IZ76|C9I	12	1	1	1	20.3	20.3	20.3	7.4004	64	64;129;132;176;250;254;263;294;323;329;358;374	3.0658E-05	NaN	NaN	NaN	0	5101900	0	5101900				45	11988	True	12007	14384	26250;26251;26252	26252		
A6PWM2;Q6UXH1-3;Q6UXH1-2;Q6UXH1-4;Q6UXH1;Q6UXH1-6;Q6UXH1-5	A6PWM2;Q6UXH1-3;Q6UXH1-2;Q6UXH1-4;Q6UXH1;Q6UXH1-6;Q6UXH1-5	3;3;3;3;3;3;3	3;3;3;3;3;3;3	3;3;3;3;3;3;3	Cysteine-rich with EGF-like domain protein 2	CRELD2	>tr|A6PWM2|A6PWM2_HUMAN Cysteine-rich with EGF-like domain protein 2 (Fragment) OS=Homo sapiens GN=CRELD2 PE=2 SV=1;>sp|Q6UXH1-3|CREL2_HUMAN Isoform 3 of Cysteine-rich with EGF-like domain protein 2 OS=Homo sapiens GN=CRELD2;>sp|Q6UXH1-2|CREL2_HUMAN Isofor	7	3	3	3	7	7	7	25.129	229	229;284;321;325;353;373;402	4.4452E-08	NaN	NaN	NaN	0	65649000	0	65649000				46	3401;4102;4103	True;True;True	3408;4110;4111	4023;4914;4915	7235;7236;8923;8924	7236;8923;8924		
B4E3S0;Q9ULV4;A7MAP0;A7MAP1	B4E3S0;Q9ULV4;A7MAP0;A7MAP1	2;2;2;2	2;2;2;2	2;2;2;2	Coronin;Coronin-1C	CORO1C	>tr|B4E3S0|B4E3S0_HUMAN Coronin OS=Homo sapiens GN=CORO1C PE=2 SV=1;>sp|Q9ULV4|COR1C_HUMAN Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1;>tr|A7MAP0|A7MAP0_HUMAN Coronin OS=Homo sapiens GN=CORO1C PE=2 SV=1;>tr|A7MAP1|A7MAP1_HUMAN Coronin OS=Homo sapiens GN	4	2	2	2	9.8	9.8	9.8	41.603	369	369;474;480;527	4.3987E-12	NaN	NaN	NaN	0	16269000	11959000	4310200				47	494;12190	True;True	495;12210	575;14620	1064;26672	1064;26672		
P35241;A7YIJ8;F5H1A7;H0YE16;P35241-2	P35241;A7YIJ8;F5H1A7	10;10;7;1;1	1;1;1;1;1	1;1;1;1;1	Radixin	RDX	>sp|P35241|RADI_HUMAN Radixin OS=Homo sapiens GN=RDX PE=1 SV=1;>tr|A7YIJ8|A7YIJ8_HUMAN Radixin OS=Homo sapiens GN=RDX PE=2 SV=1;>tr|F5H1A7|F5H1A7_HUMAN Radixin OS=Homo sapiens GN=RDX PE=2 SV=1	5	10	1	1	15.3	2.6	2.6	68.563	583	583;604;447;253;257	1.7546E-59	NaN	NaN	NaN	1	5156900	1460600	3696200				48	803;3555;5014;5663;5854;6274;8378;8865;9139;11791	False;False;False;False;False;False;True;False;False;False	807;3562;5023;5673;5864;6284;8391;8879;9153;11810	952;953;954;4203;6022;6821;7066;7067;7549;10047;10613;10932;10933;14113;14114	1695;1696;1697;1698;7576;7577;10971;10972;10973;12450;12855;12856;12857;12858;12859;13689;13690;18118;18119;19188;19189;19740;19741;25750;25751;25752	1696;7577;10971;12450;12856;13690;18118;19188;19741;25751		
Q8IWT0-2;H7C3R6;Q8IWT0;A8K0B5	Q8IWT0-2;H7C3R6;Q8IWT0;A8K0B5	1;1;1;1	1;1;1;1	1;1;1;1	Protein archease	ZBTB8OS	>sp|Q8IWT0-2|ARCH_HUMAN Isoform 2 of Protein archease OS=Homo sapiens GN=ZBTB8OS;>tr|H7C3R6|H7C3R6_HUMAN Protein archease (Fragment) OS=Homo sapiens GN=ZBTB8OS PE=4 SV=1;>sp|Q8IWT0|ARCH_HUMAN Protein archease OS=Homo sapiens GN=ZBTB8OS PE=1 SV=2;>tr|A8K0B5	4	1	1	1	7.4	7.4	7.4	15.709	136	136;147;167;179	0.0026582	NaN	NaN	NaN	0	3734800	0	3734800				49	3463	True	3470	4095	7371	7371		
C9JA93;A8K8E1;Q8TC07-2;Q8TC07-3;Q8TC07	C9JA93;A8K8E1;Q8TC07-2;Q8TC07-3;Q8TC07	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	TBC1 domain family member 15	TBC1D15	>tr|C9JA93|C9JA93_HUMAN TBC1 domain family member 15 (Fragment) OS=Homo sapiens GN=TBC1D15 PE=2 SV=1;>tr|A8K8E1|A8K8E1_HUMAN TBC1 domain family member 15 OS=Homo sapiens GN=TBC1D15 PE=2 SV=1;>sp|Q8TC07-2|TBC15_HUMAN Isoform 2 of TBC1 domain family member 1	5	2	2	2	9.4	9.4	9.4	32.136	278	278;445;674;682;691	1.1827E-11	1.5508	1.3543	19.386	2	12662000	5385900	7275600				50	3326;5320	True;True	3333;5329	3935;6393	7082;11671;11672;11673;11674	7082;11673		
H3BUI0;J3KR23;P53990-2;P53990-3;P53990-4;A8KAH5;H3BMU1;P53990;F5GXM3;H3BQF7;J3QLU7	H3BUI0;J3KR23;P53990-2;P53990-3;P53990-4;A8KAH5;H3BMU1;P53990;F5GXM3;H3BQF7;J3QLU7	4;4;4;4;4;4;3;3;2;2;2	4;4;4;4;4;4;3;3;2;2;2	4;4;4;4;4;4;3;3;2;2;2	IST1 homolog	IST1	>tr|H3BUI0|H3BUI0_HUMAN IST1 homolog (Fragment) OS=Homo sapiens GN=IST1 PE=2 SV=1;>tr|J3KR23|J3KR23_HUMAN IST1 homolog (Fragment) OS=Homo sapiens GN=IST1 PE=4 SV=1;>sp|P53990-2|IST1_HUMAN Isoform 2 of IST1 homolog OS=Homo sapiens GN=IST1;>sp|P53990-3|IST1_	11	4	4	4	40.7	40.7	40.7	27.91	253	253;289;335;360;366;379;206;364;141;166;218	6.0339E-09	1.8773	1.7236	28.555	3	22681000	7248200	15433000				51	2537;3909;7097;8557	True;True;True;True	2544;3917;7109;8571	3028;4613;8560;10258	5418;5419;8341;8342;15465;18527	5419;8341;15465;18527		
A8MT40;Q8NCN5;H3BQG3	A8MT40;Q8NCN5;H3BQG3	2;2;1	2;2;1	2;2;1	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	PDPR	>tr|A8MT40|A8MT40_HUMAN Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens GN=PDPR PE=2 SV=2;>sp|Q8NCN5|PDPR_HUMAN Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens GN=PDPR PE=1 SV=2;>tr|	3	2	2	2	3	3	3	88.569	779	779;879;491	1.4454E-05	NaN	NaN	NaN	1	9378100	2186800	7191200				52	1921;7834	True;True	1927;7848	2300;9403	4134;16955	4134;16955		
A8MTP9;Q9Y2R4	A8MTP9;Q9Y2R4	1;1	1;1	1;1	Probable ATP-dependent RNA helicase DDX52	DDX52	>tr|A8MTP9|A8MTP9_HUMAN Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=2 SV=1;>sp|Q9Y2R4|DDX52_HUMAN Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3	2	1	1	1	2.6	2.6	2.6	55.217	491	491;599	0.0046596	NaN	NaN	NaN	0	477620	477620	0				53	10445	True	10464	12497	22636	22636		
P61956-2;Q6EEV6;P61956;H7BZT4;P55854;A8MUA9;B4DUW4;A8MU27	P61956-2;Q6EEV6;P61956;H7BZT4;P55854;A8MUA9;B4DUW4;A8MU27	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Small ubiquitin-related modifier 4;Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3	SUMO4;SUMO2;SUMO3	>sp|P61956-2|SUMO2_HUMAN Isoform 2 of Small ubiquitin-related modifier 2 OS=Homo sapiens GN=SUMO2;>sp|Q6EEV6|SUMO4_HUMAN Small ubiquitin-related modifier 4 OS=Homo sapiens GN=SUMO4 PE=1 SV=2;>sp|P61956|SUMO2_HUMAN Small ubiquitin-related modifier 2 OS=Homo	8	1	1	1	16.9	16.9	16.9	8.1111	71	71;95;95;95;103;135;141;147	8.8873E-14	NaN	NaN	NaN	1	180110000	61641000	118470000				54	10906	True	10926	13063	23738;23739;23740	23739		
